,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm
294,29.4,0.087525,1240.370289,6.182531,1.217104,501.1597127272727,0.18003875946418169
295,29.5,0.097095,1243.353733,6.208546,1.146796,502.3651446464646,0.18079633080955154
296,29.6,0.102041,1246.041347,6.263427,1.307812,503.4510492929293,0.1823944962143273
297,29.7,0.103926,1247.800337,6.314309,1.344014,504.1617523232323,0.18387620850320324
298,29.8,0.09806,1246.30476,6.343155,1.384867,503.5574787878788,0.18471622015142689
299,29.9,0.101719,1249.598536,6.36628,1.328685,504.8882973737373,0.18538963308095513
300,30.0,0.096497,1250.666541,6.395947,1.332816,505.31981454545456,0.18625355270821198
301,30.1,0.095592,1255.705553,6.450061,1.45498,507.35577898989897,0.18782938264414675
302,30.2,0.097656,1255.112431,6.479499,1.485363,507.11613373737373,0.1886866336633663
303,30.3,0.098773,1258.040255,6.506731,1.381381,508.29909292929284,0.18947964472917878
304,30.4,0.09575,1259.462502,6.577086,1.548422,508.8737381818182,0.19152842166569597
305,30.5,0.100723,1261.055849,6.600592,1.543612,509.51751474747476,0.19221292952824692
306,30.6,0.097822,1261.036631,6.620133,1.403018,509.50974989898987,0.19278197437390795
307,30.7,0.092627,1260.249325,6.660652,1.3658,509.19164646464645,0.1939619103086779
308,30.8,0.091257,1263.028516,6.71166,1.446527,510.31455191919196,0.19544729178800233
309,30.9,0.093257,1266.959186,6.754501,1.524338,511.9027014141414,0.19669484566103668
310,31.0,0.09084,1267.000846,6.779739,1.51234,511.9195337373737,0.19742979033197436
311,31.1,0.098728,1266.901019,6.822213,1.460615,511.87919959595956,0.1986666569598136
